Civilité;Nom;Prénom;Mandat;Circonscription;Département;Candidat;"Date de publication"
M.;CORDIVAL;Gilles;Maire;Mont-Saint-Père;Aisne;"ARTHAUD Nathalie";01/02/2022
Mme;VALLIET;Odile;Maire;Crupilly;Aisne;"ARTHAUD Nathalie";01/02/2022
M.;GUEYRAUD;Jean-Marie;Maire;Saint-Auban-d'Oze;Hautes-Alpes;"ARTHAUD Nathalie";01/02/2022
Mme;NOUVEL;Marie-Claude;Maire;Seignalens;Aude;"ARTHAUD Nathalie";01/02/2022
M.;GAINCHE;Jean-Paul;Maire;Langrolay-sur-Rance;Côtes-d'Armor;"ARTHAUD Nathalie";01/02/2022
M.;DUBOS;Roland;Maire;Richeville;Eure;"ARTHAUD Nathalie";01/02/2022
M.;PIQUENOT;Olivier;Maire;Saint-Léger-de-Rôtes;Eure;"ARTHAUD Nathalie";01/02/2022
M.;LAMOTTE;Noël;Maire;"Le Rozel";Manche;"ARTHAUD Nathalie";01/02/2022
M.;RORET;Pascal;"Maire délégué d'une commune associée ou d'une commune déléguée";Val-de-Meuse;Haute-Marne;"ARTHAUD Nathalie";01/02/2022
M.;RUIZ;Albert;"Maire délégué d'une commune associée ou d'une commune déléguée";Bourmont-entre-Meuse-et-Mouzon;Haute-Marne;"ARTHAUD Nathalie";01/02/2022
M.;BASCOUR;Thierry;Maire;Buire-au-Bois;Pas-de-Calais;"ARTHAUD Nathalie";01/02/2022
M.;WELELE;Patrice;Maire;Morval;Pas-de-Calais;"ARTHAUD Nathalie";01/02/2022
M.;GAROT;Jany;Maire;Voisey;Haute-Marne;"ASSELINEAU François";01/02/2022
M.;GY;Sylvain;"Maire délégué d'une commune associée ou d'une commune déléguée";"Le Val-d'Esnoms";Haute-Marne;"ASSELINEAU François";01/02/2022
M.;LORRAIN;Christian;"Maire délégué d'une commune associée ou d'une commune déléguée";Voisey;Haute-Marne;"ASSELINEAU François";01/02/2022
Mme;ROUGET;Sylviane;"Maire déléguée d'une commune associée ou d'une commune déléguée";Vals-des-Tilles;Haute-Marne;"ASSELINEAU François";01/02/2022
Mme;VERRON;Annick;Maire;Cirfontaines-en-Ornois;Haute-Marne;"ASSELINEAU François";01/02/2022
M.;MATHIEU;"Joël Guy Jean Marie";Maire;Tanconville;Meurthe-et-Moselle;"ASSELINEAU François";01/02/2022
M.;DUPUIS;Daniel;Maire;Luzy-Saint-Martin;Meuse;"ASSELINEAU François";01/02/2022
M.;LANTERNE;Philippe;"Maire délégué d'une commune associée ou d'une commune déléguée";Chonville-Malaumont;Meuse;"ASSELINEAU François";01/02/2022
M.;BIER;Rémy;Maire;Schneckenbusch;Moselle;"ASSELINEAU François";01/02/2022
M.;DELCOURT;Pierre;Maire;"Le Titre";Somme;"ASSELINEAU François";01/02/2022
M.;GREHANT;Bernard;Maire;Aubenton;Aisne;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;SARRET;Jean;Maire;Valserres;Hautes-Alpes;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;FAVREAU;"Patrick Henri";Maire;Saint-Vallier;Charente;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;GROSS;Jean-Luc;Maire;Beaupouyet;Dordogne;"DUPONT-AIGNAN Nicolas";01/02/2022
Mme;PETITJEAN;Frédérique;Maire;Branne;Doubs;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;RODRIGUEZ;David;Maire;Tendu;Indre;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;GUESNON;Daniel;Maire;"Le Luot";Manche;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;NUFFER;Jean-Philippe;Maire;Lafauche;Haute-Marne;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;NICOLAS;Sylvain;Maire;Moncourt;Moselle;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;LAVERNHE;Philippe;Maire;Canny-sur-Thérain;Oise;"DUPONT-AIGNAN Nicolas";01/02/2022
M.;THOMAS;Jean-Jacques;Maire;Hirson;Aisne;"HIDALGO Anne";01/02/2022
M.;PERRIN;Pascal;Maire;Yzeure;Allier;"HIDALGO Anne";01/02/2022
Mme;FINIELS;Martine;Maire;Vernoux-en-Vivarais;Ardèche;"HIDALGO Anne";01/02/2022
M.;TENNEGUIN;Claude;Maire;Villadin;Aube;"HIDALGO Anne";01/02/2022
M.;CALY;"Guy Auguste";Maire;Villanière;Aude;"HIDALGO Anne";01/02/2022
M.;RAYNAUD;Christian;"Conseiller départemental";;Aude;"HIDALGO Anne";01/02/2022
M.;SALLES;Bernard;Maire;Chanac-les-Mines;Corrèze;"HIDALGO Anne";01/02/2022
M.;RETY;Jean-Marc;"Conseiller régional";Bourgogne-Franche-Comté;Côte-d'Or;"HIDALGO Anne";01/02/2022
M.;MALLERON;Didier;"Conseiller départemental";;Finistère;"HIDALGO Anne";01/02/2022
Mme;SARRABEZOLLES;Nathalie;"Conseillère départementale";;Finistère;"HIDALGO Anne";01/02/2022
M.;GONELLA;Dominique;Maire;Marsolan;Gers;"HIDALGO Anne";01/02/2022
M.;PENSIVY;Bernard;Maire;Auterive;Gers;"HIDALGO Anne";01/02/2022
M.;SERIN;Jacques;Maire;Betcave-Aguin;Gers;"HIDALGO Anne";01/02/2022
M.;ALLOY;Hervé;Maire;Guîtres;Gironde;"HIDALGO Anne";01/02/2022
M.;ASTIER;Dominique;"Conseiller régional";Nouvelle-Aquitaine;Gironde;"HIDALGO Anne";01/02/2022
Mme;BILLARD;Armelle;"Conseillère départementale";;Ille-et-Vilaine;"HIDALGO Anne";01/02/2022
M.;LAIGNEL;André;Maire;Issoudun;Indre;"HIDALGO Anne";01/02/2022
M.;ROULLET;Dominique;"Conseiller régional";"Centre-Val De Loire";Indre;"HIDALGO Anne";01/02/2022
M.;ROIRON;Pierre-Alain;Maire;Langeais;Indre-et-Loire;"HIDALGO Anne";01/02/2022
M.;ROBIN;François;"Conseiller départemental";;Lozère;"HIDALGO Anne";01/02/2022
M.;GUIBERT;Vincent;"Conseiller départemental";;Maine-et-Loire;"HIDALGO Anne";01/02/2022
M.;ARRIVÉ;Benoît;Maire;Cherbourg-en-Cotentin;Manche;"HIDALGO Anne";01/02/2022
Mme;PIC;Anna;"Conseillère régionale";Normandie;Manche;"HIDALGO Anne";01/02/2022
M.;QUENARD;Eric;"Conseiller régional";"Grand Est";Marne;"HIDALGO Anne";01/02/2022
M.;DESNOUVEAUX;Gilles;Maire;Reynel;Haute-Marne;"HIDALGO Anne";01/02/2022
M.;JACQUIN;Olivier;Sénateur;;Meurthe-et-Moselle;"HIDALGO Anne";01/02/2022
Mme;THIL;Marie-Claude;Maire;Béthincourt;Meuse;"HIDALGO Anne";01/02/2022
Mme;LAVALETTE;Dominique;"Conseillère départementale";;Oise;"HIDALGO Anne";01/02/2022
M.;BEAUVAIS;Laurent;"Conseiller régional";Normandie;Orne;"HIDALGO Anne";01/02/2022
M.;MAGNER;Jacques-Bernard;Sénateur;;Puy-de-Dôme;"HIDALGO Anne";01/02/2022
Mme;ISSON;Geneviève;"Conseillère départementale";;Hautes-Pyrénées;"HIDALGO Anne";01/02/2022
M.;BLANC;Mathias;"Conseiller départemental";;Pyrénées-Orientales;"HIDALGO Anne";01/02/2022
M.;BURKHALTER;Fernand;Maire;Héricourt;Haute-Saône;"HIDALGO Anne";01/02/2022
M.;NIEPCERON;Loïc;"Conseiller régional";Bourgogne-Franche-Comté;Haute-Saône;"HIDALGO Anne";01/02/2022
M.;BLOCHE;Patrick;"Conseiller de Paris";;Paris;"HIDALGO Anne";01/02/2022
M.;CARON-THIBAULT;Gauthier;"Conseiller de Paris";;Paris;"HIDALGO Anne";01/02/2022
M.;CHEVANDIER;Thomas;"Conseiller de Paris";;Paris;"HIDALGO Anne";01/02/2022
M.;COBLENCE;Emmanuel;"Conseiller de Paris";;Paris;"HIDALGO Anne";01/02/2022
Mme;CORDEBARD;Alexandra;"Maire d'arrondissement";;Paris;"HIDALGO Anne";01/02/2022
M.;FERAUD;Rémi;Sénateur;;Paris;"HIDALGO Anne";01/02/2022
Mme;GARRIGOS;Geneviève;"Conseillère de Paris";;Paris;"HIDALGO Anne";01/02/2022
Mme;LEMARDELEY;Marie-Christine;"Conseillère de Paris";;Paris;"HIDALGO Anne";01/02/2022
Mme;ROLLAND;Carine;"Conseillère de Paris";;Paris;"HIDALGO Anne";01/02/2022
M.;ZIADY;Karim;"Conseiller de Paris";;Paris;"HIDALGO Anne";01/02/2022
M.;BOUCHE;Frederic;Maire;Villeparisis;Seine-et-Marne;"HIDALGO Anne";01/02/2022
M.;GERVILLE-REACHE;Fabrice;Maire;Nexon;Haute-Vienne;"HIDALGO Anne";01/02/2022
Mme;AZZAZ;Nadège;Maire;Châtillon;Hauts-de-Seine;"HIDALGO Anne";01/02/2022
Mme;BEAULANDE;Marie-José;Maire;Eaubonne;Val-d'Oise;"HIDALGO Anne";01/02/2022
M.;DEDIES;Daniel;"Conseiller départemental";;Aude;"JADOT Yannick";01/02/2022
M.;RAUZY;Nicolas;Maire;"Les Cassés";Aude;"JADOT Yannick";01/02/2022
M.;FOUCHET;Pierre;Maire;Menetou-Salon;Cher;"JADOT Yannick";01/02/2022
M.;NAUROY;Christian;Maire;Montégut-Savès;Gers;"JADOT Yannick";01/02/2022
Mme;VUYLSTEKER;Katy;"Conseillère régionale";Hauts-De-France;Nord;"JADOT Yannick";01/02/2022
M.;DUBARRY;Jean-Bertrand;Maire;Aulon;Hautes-Pyrénées;"JADOT Yannick";01/02/2022
M.;MARX;Armand;"Conseiller régional";"Grand Est";Bas-Rhin;"JADOT Yannick";01/02/2022
Mme;REYS;Caroline;"Conseillère régionale";"Grand Est";Bas-Rhin;"JADOT Yannick";01/02/2022
M.;DIETMANN;Daniel;Maire;Manspach;Haut-Rhin;"JADOT Yannick";01/02/2022
Mme;CREUZE;Catherine;"Conseillère métropolitaine de Lyon";;Rhône;"JADOT Yannick";01/02/2022
M.;DAMERVAL;François;"Conseiller régional";Île-De-France;Essonne;"JADOT Yannick";01/02/2022
M.;LAMANDE;Xavier;Maire;Ernes;Calvados;"KAZIB Anasse";01/02/2022
M.;ALLIOT;Jean-François;Maire;Villeneuve-la-Dondagre;Yonne;"KUZMANOVIC Georges";01/02/2022
Mme;BLAES;Magali;Maire;Valignat;Allier;"LASSALLE Jean";01/02/2022
M.;LÉGER;Walter;Maire;Couvignon;Aube;"LASSALLE Jean";01/02/2022
M.;BOUNON;Eric;Maire;Lunac;Aveyron;"LASSALLE Jean";01/02/2022
M.;PIOLOT;Jean-Michel;Maire;Saint-Ouen-la-Thène;Charente-Maritime;"LASSALLE Jean";01/02/2022
M.;DULUT;Thierry;Maire;Émanville;Eure;"LASSALLE Jean";01/02/2022
M.;CARREAU;Pascal;Maire;Corneillan;Gers;"LASSALLE Jean";01/02/2022
M.;RENOU;Pierre;Maire;Reignac;Gironde;"LASSALLE Jean";01/02/2022
Mme;AUTIPOUT;Michèle;Maire;Xaintrailles;Lot-et-Garonne;"LASSALLE Jean";01/02/2022
M.;MOUSSY;Jean-François;Maire;Congy;Marne;"LASSALLE Jean";01/02/2022
M.;VOLDOIRE;André;Maire;Valcivières;Puy-de-Dôme;"LASSALLE Jean";01/02/2022
M.;ARHANCHIAGUE;Jean-Pierre;Maire;Ainharp;Pyrénées-Atlantiques;"LASSALLE Jean";01/02/2022
M.;BOURGUET;Jacques;Maire;Viellenave-de-Navarrenx;Pyrénées-Atlantiques;"LASSALLE Jean";01/02/2022
M.;LENDRE;Jean-Baptiste;Maire;Méritein;Pyrénées-Atlantiques;"LASSALLE Jean";01/02/2022
M.;SARASOLA;Jean;Maire;Gurmençon;Pyrénées-Atlantiques;"LASSALLE Jean";01/02/2022
M.;MASCLE;Philippe;Maire;Luquet;Hautes-Pyrénées;"LASSALLE Jean";01/02/2022
M.;LAURENT;Frédéric;Maire;Perrusse;Haute-Marne;"LE PEN Marine";01/02/2022
Mme;POULAIN;Maryse;"Conseillère départementale";;Pas-de-Calais;"LE PEN Marine";01/02/2022
Mme;BONO-VANDORME;Aude;Députée;"1ère circonscription";Aisne;"MACRON Emmanuel";01/02/2022
Mme;"DOYEZ ROUSSEL";Jeanne;"Conseillère départementale";;Aisne;"MACRON Emmanuel";01/02/2022
M.;HAY;Etienne;Maire;Épaux-Bézu;Aisne;"MACRON Emmanuel";01/02/2022
M.;BAUDELOT;Pascal;Maire;Lenax;Allier;"MACRON Emmanuel";01/02/2022
M.;FLORES;Sylvain;Maire;Beynes;Alpes-de-Haute-Provence;"MACRON Emmanuel";01/02/2022
M.;FRANCOU;Jérôme;Maire;"La Motte-du-Caire";Alpes-de-Haute-Provence;"MACRON Emmanuel";01/02/2022
M.;IACOBBI;Christophe;Maire;Allons;Alpes-de-Haute-Provence;"MACRON Emmanuel";01/02/2022
M.;ESTROSI;Christian;Maire;Nice;Alpes-Maritimes;"MACRON Emmanuel";01/02/2022
Mme;"VALETTA ARDISSON";Alexandra;Députée;"4ème circonscription";Alpes-Maritimes;"MACRON Emmanuel";01/02/2022
M.;MICHEAU;Pierre;Maire;Floure;Aude;"MACRON Emmanuel";01/02/2022
M.;FOURNIER;Christian;Maire;Saint-Martin-Valmeroux;Cantal;"MACRON Emmanuel";01/02/2022
Mme;MARSAUD;Sandra;Députée;"2ème circonscription";Charente;"MACRON Emmanuel";01/02/2022
M.;SOURISSEAU;Jérôme;Maire;Bourg-Charente;Charente;"MACRON Emmanuel";01/02/2022
M.;DELOY;Franck;Maire;Magny-Montarlot;Côte-d'Or;"MACRON Emmanuel";01/02/2022
Mme;GAUSSENS;Annie;Maire;Trouhans;Côte-d'Or;"MACRON Emmanuel";01/02/2022
M.;PARIS;Didier;Député;"5ème circonscription";Côte-d'Or;"MACRON Emmanuel";01/02/2022
M.;POULLEAU;Christian;Maire;Molinot;Côte-d'Or;"MACRON Emmanuel";01/02/2022
M.;SEGUIN;Gilles;Maire;Agencourt;Côte-d'Or;"MACRON Emmanuel";01/02/2022
M.;KERLOGOT;Yannick;Député;"4ème circonscription";Côtes-d'Armor;"MACRON Emmanuel";01/02/2022
M.;CHASSAING;Philippe;Député;"1ère circonscription";Dordogne;"MACRON Emmanuel";01/02/2022
Mme;DUBOIS;Jacqueline;Députée;"4ème circonscription";Dordogne;"MACRON Emmanuel";01/02/2022
M.;PEYRAT;Jerome;Maire;"La Roque-Gageac";Dordogne;"MACRON Emmanuel";01/02/2022
Mme;VOIDEY;Martine;"Conseillère départementale";;Doubs;"MACRON Emmanuel";01/02/2022
M.;BENIER;Joris;Maire;"Les Trois Lacs";Eure;"MACRON Emmanuel";01/02/2022
Mme;GIPSON;Séverine;Députée;"1ère circonscription";Eure;"MACRON Emmanuel";01/02/2022
M.;LECORNU;Sébastien;"Conseiller départemental";;Eure;"MACRON Emmanuel";01/02/2022
M.;OBADIA;Philippe;Maire;"Les Barils";Eure;"MACRON Emmanuel";01/02/2022
Mme;O'PETIT;Claire;Députée;"5ème circonscription";Eure;"MACRON Emmanuel";01/02/2022
M.;RIVEMALE;"Yves Marie";Maire;"Verneuil d'Avre et d'Iton";Eure;"MACRON Emmanuel";01/02/2022
M.;BERTA;Philippe;Député;"6ème circonscription";Gard;"MACRON Emmanuel";01/02/2022
M.;"LE BOHEC";Gaël;Député;"4ème circonscription";Ille-et-Vilaine;"MACRON Emmanuel";01/02/2022
M.;CHALUMEAU;Philippe;Député;"1ère circonscription";Indre-et-Loire;"MACRON Emmanuel";01/02/2022
Mme;DATTEE;Catherine;Maire;Saunay;Indre-et-Loire;"MACRON Emmanuel";01/02/2022
M.;ESNAULT;Alain;Maire;Sorigny;Indre-et-Loire;"MACRON Emmanuel";01/02/2022
Mme;CASCARINO;Sophie;"Conseillère régionale";"Pays De La Loire";Loire-Atlantique;"MACRON Emmanuel";01/02/2022
M.;COUDRIAU;Bernard;Maire;Saint-Lumine-de-Coutais;Loire-Atlantique;"MACRON Emmanuel";01/02/2022
Mme;ERRANTE;Sophie;Députée;"10ème circonscription";Loire-Atlantique;"MACRON Emmanuel";01/02/2022
M.;GARRABOS;Jean-François;Maire;Feugarolles;Lot-et-Garonne;"MACRON Emmanuel";01/02/2022
M.;BECHU;Christophe;Maire;Angers;Maine-et-Loire;"MACRON Emmanuel";01/02/2022
M.;MAUTRAIT;René;Maire;"Le Meix-Tiercelin";Marne;"MACRON Emmanuel";01/02/2022
M.;TEMPLIER;Sylvain;Député;"1ère circonscription";Haute-Marne;"MACRON Emmanuel";01/02/2022
Mme;TRELAT-VALLON;Françoise;Maire;Chaumont-la-Ville;Haute-Marne;"MACRON Emmanuel";01/02/2022
M.;BORDELET;Frédéric;Maire;Moulay;Mayenne;"MACRON Emmanuel";01/02/2022
M.;COUËFFÉ;Dominique;Maire;Cosmes;Mayenne;"MACRON Emmanuel";01/02/2022
Mme;DUCHEMIN;Françoise;"Conseillère départementale";;Mayenne;"MACRON Emmanuel";01/02/2022
M.;LANGOUET;Christophe;"Conseiller départemental";;Mayenne;"MACRON Emmanuel";01/02/2022
M.;DEMANGE;Jean-Luc;Maire;Merviller;Meurthe-et-Moselle;"MACRON Emmanuel";01/02/2022
M.;VAUTRIN;Jean-Philippe;"Conseiller départemental";;Meuse;"MACRON Emmanuel";01/02/2022
Mme;"LE PEIH";Nicole;Députée;"3ème circonscription";Morbihan;"MACRON Emmanuel";01/02/2022
M.;MARY;Jean-François;Maire;Allaire;Morbihan;"MACRON Emmanuel";01/02/2022
M.;PELLOIS;Hervé;Député;"1ère circonscription";Morbihan;"MACRON Emmanuel";01/02/2022
M.;AREND;Christophe;Député;"6ème circonscription";Moselle;"MACRON Emmanuel";01/02/2022
Mme;GRIES-TRISSE;Nicole;Députée;"5ème circonscription";Moselle;"MACRON Emmanuel";01/02/2022
Mme;RAUCH;Isabelle;Députée;"9ème circonscription";Moselle;"MACRON Emmanuel";01/02/2022
M.;DEGALLAIX;Laurent;Maire;Valenciennes;Nord;"MACRON Emmanuel";01/02/2022
M.;"DI POMPEO";Christophe;Député;"3ème circonscription";Nord;"MACRON Emmanuel";01/02/2022
Mme;LISO;Brigitte;Députée;"4ème circonscription";Nord;"MACRON Emmanuel";01/02/2022
M.;BARTHELEMY;Stanislas;Maire;Longueil-Sainte-Marie;Oise;"MACRON Emmanuel";01/02/2022
Mme;BUREAU-BONNARD;Carole;Députée;"6ème circonscription";Oise;"MACRON Emmanuel";01/02/2022
M.;CAGNARD;Marc;Maire;Croissy-sur-Celle;Oise;"MACRON Emmanuel";01/02/2022
M.;DECOSTER;François;Maire;Saint-Omer;Pas-de-Calais;"MACRON Emmanuel";01/02/2022
Mme;DEPREZ-AUDEBERT;Marguerite;Députée;"9ème circonscription";Pas-de-Calais;"MACRON Emmanuel";01/02/2022
M.;DESFACHELLE;Nicolas;Maire;Saint-Laurent-Blangy;Pas-de-Calais;"MACRON Emmanuel";01/02/2022
Mme;MAQUET;Jacqueline;Députée;"2ème circonscription";Pas-de-Calais;"MACRON Emmanuel";01/02/2022
M.;PONT;Jean-Pierre;Député;"5ème circonscription";Pas-de-Calais;"MACRON Emmanuel";01/02/2022
M.;ESCALÉ;Francis;Maire;Baudreix;Pyrénées-Atlantiques;"MACRON Emmanuel";01/02/2022
M.;LEBLANC;Jean-Simon;Maire;Labastide-Monréjeau;Pyrénées-Atlantiques;"MACRON Emmanuel";01/02/2022
Mme;POUEYTO;Josy;Députée;"1ère circonscription";Pyrénées-Atlantiques;"MACRON Emmanuel";01/02/2022
M.;LAVAL;Frédéric;"Conseiller départemental";;Hautes-Pyrénées;"MACRON Emmanuel";01/02/2022
Mme;"SIANI WEMBOU";Virginie;"Conseillère départementale";;Hautes-Pyrénées;"MACRON Emmanuel";01/02/2022
Mme;CORDELETTE;Joëlle;Maire;Mont-Louis;Pyrénées-Orientales;"MACRON Emmanuel";01/02/2022
M.;MICHELS;Thierry;Député;"1ère circonscription";Bas-Rhin;"MACRON Emmanuel";01/02/2022
M.;RINIE;Jean-Luc;Maire;Rosteig;Bas-Rhin;"MACRON Emmanuel";01/02/2022
Mme;KLINKERT;Brigitte;"Conseillère départementale";;Haut-Rhin;"MACRON Emmanuel";01/02/2022
Mme;WEIDER-NIGLIS;Séverine;"Conseillère régionale";"Grand Est";Haut-Rhin;"MACRON Emmanuel";01/02/2022
Mme;BRUGNERA;Anne;Députée;"4ème circonscription";Rhône;"MACRON Emmanuel";01/02/2022
M.;SOTTON;Martin;Maire;Thizy-les-Bourgs;Rhône;"MACRON Emmanuel";01/02/2022
M.;GREMILLON;Alain;Maire;Lombron;Sarthe;"MACRON Emmanuel";01/02/2022
M.;PICHEREAU;Damien;Député;"1ère circonscription";Sarthe;"MACRON Emmanuel";01/02/2022
M.;CROZE;Jean-Claude;Maire;Brison-Saint-Innocent;Savoie;"MACRON Emmanuel";01/02/2022
M.;VAUDEY;Joël;Maire;Verchaix;Haute-Savoie;"MACRON Emmanuel";01/02/2022
Mme;IBLED;Catherine;"Conseillère de Paris";;Paris;"MACRON Emmanuel";01/02/2022
M.;MAILLARD;Sylvain;Député;"1ère circonscription";Paris;"MACRON Emmanuel";01/02/2022
Mme;SILIN;Marie;Députée;"12ème circonscription";Paris;"MACRON Emmanuel";01/02/2022
Mme;DO;Stéphanie;Députée;"10ème circonscription";Seine-et-Marne;"MACRON Emmanuel";01/02/2022
M.;FORTIN;Philippe;Maire;Longueville;Seine-et-Marne;"MACRON Emmanuel";01/02/2022
M.;HOURDÉ;Achille;Maire;Jaignes;Seine-et-Marne;"MACRON Emmanuel";01/02/2022
M.;DELEPIERRE;Richard;Maire;"Le Chesnay-Rocquencourt";Yvelines;"MACRON Emmanuel";01/02/2022
Mme;DELPIROU;Cécile;Députée;"2ème circonscription";Somme;"MACRON Emmanuel";01/02/2022
M.;LEULIER;Jean-Paul;"Maire délégué d'une commune associée ou d'une commune déléguée";Crouy-Saint-Pierre;Somme;"MACRON Emmanuel";01/02/2022
M.;MACHAT;Jean-Marie;Maire;Estrébœuf;Somme;"MACRON Emmanuel";01/02/2022
M.;MARIAGE;Bruno;Maire;Warlus;Somme;"MACRON Emmanuel";01/02/2022
M.;FALCO;Hubert;Maire;Toulon;Var;"MACRON Emmanuel";01/02/2022
M.;LONGOUR;Jean-Luc;Maire;"Le Cannet-des-Maures";Var;"MACRON Emmanuel";01/02/2022
Mme;BALLET-BLU;Françoise;Députée;"1ère circonscription";Vienne;"MACRON Emmanuel";01/02/2022
M.;HOULIÉ;Sacha;Député;"2ème circonscription";Vienne;"MACRON Emmanuel";01/02/2022
Mme;BEAUDOUIN-HUBIERE;Sophie;Députée;"1ère circonscription";Haute-Vienne;"MACRON Emmanuel";01/02/2022
Mme;CROUZET;Michèle;Députée;"3ème circonscription";Yonne;"MACRON Emmanuel";01/02/2022
M.;VECTEN;Yves;"Conseiller départemental";;Yonne;"MACRON Emmanuel";01/02/2022
M.;MERIGOT;Michael;Maire;Ormoy-la-Rivière;Essonne;"MACRON Emmanuel";01/02/2022
Mme;HENNION;Christine;Députée;"3ème circonscription";Hauts-de-Seine;"MACRON Emmanuel";01/02/2022
M.;BRIDEY;Jean-Jacques;Député;"7ème circonscription";Val-de-Marne;"MACRON Emmanuel";01/02/2022
M.;GOUFFIER-CHA;Guillaume;Député;"6ème circonscription";Val-de-Marne;"MACRON Emmanuel";01/02/2022
M.;MBAYE;Jean-François;Député;"2ème circonscription";Val-de-Marne;"MACRON Emmanuel";01/02/2022
Mme;HAYER;Valérie;"Représentante française au Parlement européen";;"Parlement européen";"MACRON Emmanuel";01/02/2022
M.;PETIT;Jacques;Maire;Escouloubre;Aude;"MÉLENCHON Jean-Luc";01/02/2022
M.;CARAYON;Christian;Maire;Montigny-sur-Armançon;Côte-d'Or;"MÉLENCHON Jean-Luc";01/02/2022
M.;GUINOT;Stéphane;Maire;Boussenois;Côte-d'Or;"MÉLENCHON Jean-Luc";01/02/2022
M.;ESCOUBEYROU;Luc;Maire;Banize;Creuse;"MÉLENCHON Jean-Luc";01/02/2022
M.;PONSARD;Philippe;Maire;Savennes;Creuse;"MÉLENCHON Jean-Luc";01/02/2022
M.;MESNIER;Christian;Maire;Chouzelot;Doubs;"MÉLENCHON Jean-Luc";01/02/2022
Mme;AMASSE;Nicole;Maire;Saint-Sauveur-Camprieu;Gard;"MÉLENCHON Jean-Luc";01/02/2022
M.;SORIANO;Michel;Maire;Lasséran;Gers;"MÉLENCHON Jean-Luc";01/02/2022
Mme;FISCHER;Karin;"Conseillère régionale";"Centre-Val De Loire";Loiret;"MÉLENCHON Jean-Luc";01/02/2022
Mme;FIAT;Caroline;"Conseillère départementale";;Meurthe-et-Moselle;"MÉLENCHON Jean-Luc";01/02/2022
Mme;JACQUET;Michèle;"Conseillère départementale";;Pas-de-Calais;"MÉLENCHON Jean-Luc";01/02/2022
M.;DUSSOLLIER;Maurice;Maire;Larreule;Hautes-Pyrénées;"MÉLENCHON Jean-Luc";01/02/2022
M.;TAVEL;Matthias;"Conseiller régional";"Pays De La Loire";Sarthe;"MÉLENCHON Jean-Luc";01/02/2022
Mme;JEAN;Gisèle;Maire;Queaux;Vienne;"MÉLENCHON Jean-Luc";01/02/2022
Mme;GRUNY;Pascale;Sénatrice;;Aisne;"PÉCRESSE Valérie";01/02/2022
M.;GALLAND;Daniel;"Conseiller départemental";;Hautes-Alpes;"PÉCRESSE Valérie";01/02/2022
M.;BECK;Xavier;Maire;Cap-d'Ail;Alpes-Maritimes;"PÉCRESSE Valérie";01/02/2022
M.;CARRETERO;Didier;"Conseiller départemental";;Alpes-Maritimes;"PÉCRESSE Valérie";01/02/2022
M.;BRUN;Fabrice;Député;"3ème circonscription";Ardèche;"PÉCRESSE Valérie";01/02/2022
Mme;BESSAOU;Magali;"Conseillère départementale";;Aveyron;"PÉCRESSE Valérie";01/02/2022
M.;LYS;Jacques;Maire;Breuillet;Charente-Maritime;"PÉCRESSE Valérie";01/02/2022
M.;GAUCHERON;Olivier;Maire;Verdigny;Cher;"PÉCRESSE Valérie";01/02/2022
M.;PERDERISET;Francis;Maire;Saulx-le-Duc;Côte-d'Or;"PÉCRESSE Valérie";01/02/2022
M.;VIENET;Michel;"Conseiller départemental";;Doubs;"PÉCRESSE Valérie";01/02/2022
M.;"LE GALL";"Jean Noël";Maire;Irvillac;Finistère;"PÉCRESSE Valérie";01/02/2022
Mme;VERNERET;Virginie;"Conseillère départementale";;Loir-et-Cher;"PÉCRESSE Valérie";01/02/2022
M.;MALET;Jean-Jacques;Maire;Bellegarde;Loiret;"PÉCRESSE Valérie";01/02/2022
Mme;DEROCHE;Catherine;Sénatrice;;Maine-et-Loire;"PÉCRESSE Valérie";01/02/2022
M.;DUFOUR;Olivier;Maire;Mondement-Montgivroux;Marne;"PÉCRESSE Valérie";01/02/2022
Mme;SCHULTHESS;Frédérique;"Conseillère départementale";;Marne;"PÉCRESSE Valérie";01/02/2022
M.;GUENE;Charles;Sénateur;;Haute-Marne;"PÉCRESSE Valérie";01/02/2022
M.;LONGUET;Gérard;Sénateur;;Meuse;"PÉCRESSE Valérie";01/02/2022
M.;VUILLAUME;François;Maire;Sampigny;Meuse;"PÉCRESSE Valérie";01/02/2022
M.;FRANÇOIS;Jean;"Conseiller départemental";;Moselle;"PÉCRESSE Valérie";01/02/2022
M.;FONTAINE;Patrice;"Conseiller départemental";;Oise;"PÉCRESSE Valérie";01/02/2022
M.;PICHONNIER;Nicolas;Maire;Rimboval;Pas-de-Calais;"PÉCRESSE Valérie";01/02/2022
M.;DURIN;Sylvain;Maire;Servant;Puy-de-Dôme;"PÉCRESSE Valérie";01/02/2022
Mme;BARRERE;Armande;"Conseillère départementale";;Pyrénées-Orientales;"PÉCRESSE Valérie";01/02/2022
